time,q1,q2,q3,q4,q5,q6,q7
22,1.09384,-0.207583,-0.140302,1.60606,1.14143,0.505726,-1.05641
22.1,1.09622,-0.205824,-0.139771,1.60412,1.15005,0.506784,-1.06589
22.2,1.09859,-0.204076,-0.139197,1.60215,1.15869,0.507896,-1.0754
22.3,1.10107,-0.202242,-0.138548,1.60003,1.16782,0.509125,-1.08546
22.4,1.10334,-0.200564,-0.137904,1.59803,1.17624,0.510317,-1.09477
22.5,1.10573,-0.198795,-0.137177,1.59588,1.18518,0.511639,-1.10467
22.6,1.10793,-0.197168,-0.136461,1.59384,1.19348,0.512919,-1.11387
22.7,1.11013,-0.19554,-0.1357,1.59176,1.20183,0.514261,-1.12316
22.8,1.11231,-0.193917,-0.134896,1.58962,1.21022,0.515661,-1.1325
22.9,1.11461,-0.192218,-0.134008,1.58734,1.21907,0.517191,-1.14237
23,1.11671,-0.190666,-0.133148,1.58519,1.22722,0.518661,-1.15148
23.1,1.1188,-0.189119,-0.132245,1.58299,1.23541,0.520189,-1.16066
23.2,1.12088,-0.18758,-0.131306,1.58075,1.24361,0.521769,-1.16986
23.3,1.12307,-0.185973,-0.130277,1.57835,1.25225,0.523492,-1.17957
23.4,1.12506,-0.184506,-0.129289,1.5761,1.2602,0.525137,-1.18853
23.5,1.12706,-0.183047,-0.128262,1.5738,1.26817,0.52684,-1.19754
23.6,1.12915,-0.181517,-0.12714,1.57132,1.27659,0.528695,-1.20707
23.7,1.13108,-0.18012,-0.126069,1.569,1.28436,0.530461,-1.21587
23.8,1.13311,-0.178651,-0.124898,1.56649,1.29258,0.532388,-1.22522
23.9,1.13498,-0.177305,-0.123779,1.56413,1.30019,0.534227,-1.23389
24,1.13686,-0.175961,-0.122621,1.5617,1.30784,0.536129,-1.24262
24.1,1.13884,-0.174553,-0.121364,1.5591,1.31593,0.538192,-1.25188
24.2,1.14066,-0.173268,-0.12017,1.55665,1.32339,0.540154,-1.26043
24.3,1.14248,-0.171991,-0.11894,1.55414,1.33087,0.542176,-1.26903
24.4,1.1444,-0.170654,-0.117608,1.55145,1.33877,0.544366,-1.27813
24.5,1.14617,-0.169437,-0.116349,1.54892,1.34604,0.54644,-1.28652
24.6,1.14805,-0.16816,-0.114985,1.54619,1.35374,0.548692,-1.29543
24.7,1.14978,-0.166993,-0.113693,1.54362,1.36085,0.550829,-1.30369
24.8,1.15151,-0.165832,-0.112367,1.54099,1.368,0.553028,-1.312
24.9,1.15335,-0.16462,-0.110935,1.53817,1.37554,0.555407,-1.3208
25,1.15504,-0.163517,-0.109587,1.53551,1.38249,0.557655,-1.32892
25.1,1.15675,-0.162424,-0.108207,1.5328,1.38945,0.559961,-1.33709
25.2,1.15854,-0.161284,-0.106723,1.52988,1.39679,0.562451,-1.34571
25.3,1.1602,-0.16025,-0.10533,1.52714,1.40355,0.564798,-1.35367
25.4,1.16187,-0.159227,-0.103907,1.52435,1.41032,0.567203,-1.36167
25.5,1.16353,-0.158218,-0.102459,1.52151,1.41707,0.569659,-1.36967
25.6,1.16529,-0.157173,-0.100912,1.51847,1.42417,0.572293,-1.3781
25.7,1.16691,-0.15623,-0.0994639,1.51563,1.43067,0.57477,-1.38586
25.8,1.16854,-0.1553,-0.0979906,1.51272,1.43718,0.577302,-1.39364
25.9,1.17026,-0.154335,-0.0964136,1.50961,1.44403,0.580023,-1.40185
26,1.17185,-0.153464,-0.0949371,1.50669,1.45033,0.582584,-1.40942
26.1,1.17345,-0.152607,-0.0934352,1.50371,1.45663,0.585202,-1.41702
26.2,1.17506,-0.151766,-0.0919123,1.50068,1.46291,0.587868,-1.42463
26.3,1.17667,-0.150944,-0.0903751,1.49762,1.46916,0.590571,-1.43221
26.4,1.17827,-0.150146,-0.0888254,1.49451,1.47536,0.593311,-1.43976
26.5,1.17996,-0.149328,-0.0871798,1.49121,1.48183,0.596235,-1.44767
26.6,1.18152,-0.148596,-0.0856495,1.48812,1.48775,0.59897,-1.45493
26.7,1.18309,-0.147881,-0.0840988,1.48497,1.49367,0.601755,-1.46221
26.8,1.18475,-0.147146,-0.0824436,1.4816,1.49988,0.604742,-1.46989
26.9,1.18628,-0.146489,-0.0809007,1.47844,1.50559,0.607543,-1.47697
27,1.18784,-0.145848,-0.0793358,1.47522,1.51129,0.610399,-1.48407
27.1,1.1894,-0.145225,-0.0777534,1.47195,1.51698,0.613301,-1.49117
27.2,1.19105,-0.14459,-0.0760714,1.46846,1.52294,0.616402,-1.49865
27.3,1.19257,-0.144028,-0.0745071,1.46518,1.5284,0.619304,-1.50552
27.4,1.19411,-0.143484,-0.0729232,1.46185,1.53386,0.622257,-1.51241
27.5,1.19575,-0.142931,-0.0712348,1.45828,1.53959,0.625422,-1.51969
27.6,1.19726,-0.142442,-0.0696632,1.45493,1.54485,0.628386,-1.52639
27.7,1.19879,-0.141972,-0.0680714,1.45152,1.5501,0.631403,-1.53312
27.8,1.20042,-0.141497,-0.0663744,1.44787,1.55563,0.634637,-1.54023
27.9,1.20193,-0.141081,-0.0647954,1.44444,1.5607,0.637664,-1.54678
28,1.20346,-0.140685,-0.0631965,1.44095,1.56577,0.640745,-1.55336
28.1,1.20509,-0.140287,-0.0614936,1.43721,1.5711,0.644043,-1.56031
