time,q1,q2,q3,q4,q5,q6,q7
18.5,0.930108,-0.266816,-0.08086,1.71662,0.656015,0.53166,-0.566626
18.6,0.932981,-0.264252,-0.0813035,1.71596,0.661852,0.530629,-0.572743
18.7,0.935852,-0.261701,-0.0817353,1.71528,0.667719,0.529619,-0.578903
18.8,0.93872,-0.259166,-0.0821533,1.71457,0.67362,0.528633,-0.585108
18.9,0.941742,-0.256506,-0.0825801,1.7138,0.679879,0.527617,-0.591702
19,0.944545,-0.254059,-0.0829583,1.71306,0.685715,0.526704,-0.597864
19.1,0.947357,-0.251608,-0.0833256,1.71229,0.691608,0.525807,-0.604096
19.2,0.950175,-0.249157,-0.083681,1.7115,0.697558,0.524927,-0.610399
19.3,0.952995,-0.246714,-0.0840228,1.7107,0.703553,0.524068,-0.61676
19.4,0.955814,-0.244281,-0.0843498,1.70986,0.709585,0.523232,-0.623172
19.5,0.958629,-0.241862,-0.0846612,1.70901,0.715651,0.52242,-0.629628
19.6,0.961594,-0.239323,-0.0849735,1.70808,0.722082,0.521588,-0.636485
19.7,0.964343,-0.236988,-0.0852421,1.70719,0.728078,0.520847,-0.642892
19.8,0.967098,-0.234651,-0.0854964,1.70627,0.734131,0.520126,-0.649369
19.9,0.969856,-0.232315,-0.0857363,1.70534,0.740234,0.519424,-0.65591
20,0.972615,-0.229987,-0.0859598,1.70438,0.746381,0.518745,-0.662509
20.1,0.97537,-0.227669,-0.0861658,1.70339,0.752563,0.51809,-0.669155
20.2,0.978118,-0.225366,-0.0863534,1.70239,0.758774,0.517462,-0.675844
20.3,0.980858,-0.22308,-0.0865212,1.70135,0.765012,0.516862,-0.682572
20.4,0.983588,-0.220809,-0.0866694,1.7003,0.771272,0.516289,-0.689334
20.5,0.986308,-0.218554,-0.0867979,1.69922,0.777551,0.515744,-0.696128
20.6,0.989017,-0.216317,-0.0869063,1.69813,0.783848,0.515227,-0.702952
20.7,0.991863,-0.213973,-0.0869989,1.69694,0.790513,0.514711,-0.710186
20.8,0.994643,-0.2117,-0.0870639,1.69575,0.797059,0.51424,-0.717306
20.9,0.997371,-0.209477,-0.0871035,1.69455,0.80352,0.513807,-0.72435
21,0.999779,-0.207521,-0.0871179,1.69346,0.809257,0.513451,-0.730615
21.1,1.0024,-0.205383,-0.0871195,1.69228,0.815552,0.513083,-0.737495
21.2,1.00516,-0.203134,-0.0870994,1.69099,0.822248,0.512721,-0.744822
21.3,1.00758,-0.201181,-0.0870581,1.68983,0.82814,0.512433,-0.751284
21.4,1.01018,-0.199069,-0.0869965,1.68857,0.834557,0.512145,-0.758326
21.5,1.01293,-0.19686,-0.0869078,1.6872,0.841347,0.511871,-0.765789
21.6,1.01546,-0.194836,-0.0867992,1.6859,0.847651,0.51165,-0.772733
21.7,1.01799,-0.192818,-0.0866689,1.68458,0.853991,0.511457,-0.779726
21.8,1.02065,-0.190694,-0.0865092,1.68316,0.860719,0.51128,-0.787159
21.9,1.02326,-0.188629,-0.086324,1.68172,0.867341,0.511141,-0.794489
22,1.02568,-0.186716,-0.0861264,1.68036,0.873536,0.511042,-0.801361
22.1,1.02826,-0.184684,-0.0858943,1.67889,0.880157,0.510964,-0.808714
22.2,1.03065,-0.1828,-0.0856527,1.67748,0.886364,0.510922,-0.815621
22.3,1.03306,-0.180907,-0.0853882,1.67605,0.892644,0.510906,-0.822618
22.4,1.03561,-0.178908,-0.0850844,1.67451,0.899337,0.510919,-0.830084
22.5,1.03798,-0.177064,-0.0847757,1.67304,0.905588,0.510962,-0.837071
22.6,1.04048,-0.175115,-0.084425,1.67145,0.912248,0.511037,-0.844525
22.7,1.04269,-0.181064,-0.085549,1.65522,0.927016,0.505554,-0.860668
22.8,1.04536,-0.184946,-0.0863597,1.64223,0.941331,0.501488,-0.876248
22.9,1.04807,-0.186204,-0.0867087,1.63434,0.952953,0.499417,-0.888873
23,1.05084,-0.186222,-0.0868202,1.62875,0.963467,0.49828,-0.900299
23.1,1.0536,-0.185528,-0.0867766,1.62454,0.973213,0.497712,-0.910902
23.2,1.05634,-0.184422,-0.086627,1.62118,0.982417,0.497503,-0.920933
23.3,1.05918,-0.183018,-0.0863928,1.61815,0.991751,0.497516,-0.931122
23.4,1.06177,-0.181572,-0.0861121,1.61566,1.00016,0.4977,-0.940315
